-60,76.05
-55,54.97
-50,40.15
-45,29.62
-40,22.06
-35,16.59
-30,12.59
-25,9.632
-20,7.433
-15,5.783
-10,4.534
-5,3.581
0,2.849
5,2.282
10,1.840
15,1.493
20,1.218
25,1.000
30,0.8262
35,0.6860
40,0.5725
45,0.4802
50,0.4048
55,0.3428
60,0.2917
65,0.2492
70,0.2138
75,0.1842
80,0.1593
85,0.1383
90,0.1205
95,0.1054
